course_id,format,price
reactivate,,$195
try,,$200
local-orientation,,от $100
advanced-snorkeler,,$150
bubblemaker,,$150
seal-team,,$250
master-seal,,$350
junior-open-water,,$550
ow,group,$650
ow,individual,$900
junior-aow,,$650
aow,,$750
msd,,$150
junior-freediver,,$350
freediver,,$350
advanced-freediver,,$450
master-freediver,,$550
rescue,,$950
efr,,$250
efr-diving,,$350
pool-lifeguard,,$350
beach-lifeguard,,$350
public-rescue-diver,,$850
dive-master,,$1300
assistant-instructor,,$1500
instructor-efr,,$1000
uw-photographer,,$500
digital-uw-photographer,,$550
uw-videographer,,$550
ppb,,$350
oxygen-provider,,$400
equipment-spec,,$300
navigator,,$400
search-recovery,,$350
multilevel,,$350
full-face-mask,,$500
adaptive,,$500
solo,,$700
altitude,,$450
night,,$350
nitrox,,$450
deep,,$500
wreck,,$450
drift,,$350
boat,,$550
dpv,,$450
sidemount,,$500
dry-suit,,$400
ice,,$500
coral-reef,,$350
debris,,$250
shark,,$350
fish-id,,$250
project-aware,,$250
naturalist,,$350
discovery-tec,,$500
tec-40,,$800
tec-45,,$1000
tec-50,,$1200
trimix-65,,$1500
trimix,,$3000
specialty,,от $250
tech,,от $500
aquarium-awareness,,$500
